seed,protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,real_mean_value,synthetic_mean_value,synthetic_negative_value_rate,source_task_value_gap
2028,P3,credit,CTGAN,append,0.0999099909990999,knn_shapley,0.0007038619286419164,0.0007803001719549362,0.125,-7.643824331301987e-05
2028,P3,credit,CTGAN,append,0.2498124531132783,data_oob,0.8070999058189575,0.772093200246749,0.0,0.03500670557220853
2028,P3,credit,CTGAN,append,0.2498124531132783,knn_shapley,0.0007827681487210972,0.0006148568151852868,0.15613382899628253,0.00016791133353581038
2028,P3,credit,CTGAN,append,0.5,data_oob,0.765266591200128,0.7761256754703136,0.0,-0.01085908427018567
2028,P3,credit,CTGAN,append,0.5,knn_shapley,0.0006860269788248833,0.000729981833785751,0.13948919449901767,-4.395485496086775e-05
2028,P3,credit,CTGAN,append,0.75,data_oob,0.7652081698909562,0.7735544275526461,0.0,-0.008346257661689949
2028,P3,credit,CTGAN,append,0.75,knn_shapley,0.0008411938562213261,0.0006783182137361993,0.17356475300400534,0.00016287564248512677
2028,P3,credit,CTGAN,replace,0.0,data_oob,0.7931378239978294,,,
2028,P3,credit,CTGAN,replace,0.0,knn_shapley,0.0007567999999999657,,,
2028,P3,credit,CTGAN,replace,0.05,data_oob,0.7742570342400893,0.7130293605267732,0.0,0.061227673713316055
2028,P3,credit,CTGAN,replace,0.05,knn_shapley,0.0007247864617624632,0.0005170572265125121,0.18,0.00020772923524995106
2028,P3,credit,CTGAN,replace,0.1,data_oob,0.7934303518487983,0.7666534400032944,0.0,0.026776911845503903
2028,P3,credit,CTGAN,replace,0.1,knn_shapley,0.0007403536334445095,0.0005528172989990631,0.18,0.00018753633444544646
2028,P3,credit,CTGAN,replace,0.25,data_oob,0.7979678657406002,0.7690395716415767,0.0,0.028928294099023533
2028,P3,credit,CTGAN,replace,0.25,knn_shapley,0.0007864785999414055,0.0006341642001756421,0.152,0.00015231439976576343
2028,P3,credit,CTGAN,replace,0.5,data_oob,0.7774723831823582,0.7810471848276885,0.0,-0.0035748016453303055
2028,P3,credit,CTGAN,replace,0.5,knn_shapley,0.0007715929398487153,0.0006612070601512134,0.134,0.00011038587969750197
2028,P3,credit,CTGAN,replace,0.75,data_oob,0.8009827198492244,0.770349913115625,0.0,0.03063280673359947
2028,P3,credit,CTGAN,replace,0.75,knn_shapley,0.0008970136389396841,0.000630062120353397,0.19333333333333333,0.00026695151858628717
2028,P3,credit,CTGAN,replace,1.0,data_oob,,0.7794182774578681,0.0,
2028,P3,credit,CTGAN,replace,1.0,knn_shapley,,0.0007019999999999677,0.177,
2028,P4,credit,TVAE,append,0.0,data_oob,0.7931378239978294,,,
2028,P4,credit,TVAE,append,0.0,knn_shapley,0.0007567999999999657,,,
2028,P4,credit,TVAE,append,0.050332383665717,data_oob,0.7632412604738725,0.7333456531379859,0.0,0.029895607335886587
2028,P4,credit,TVAE,append,0.050332383665717,knn_shapley,0.0007094559207604014,0.0007541242382513316,0.16666666666666666,-4.4668317490930234e-05
2028,P4,credit,TVAE,append,0.0999099909990999,data_oob,0.7775409769639595,0.8576084696065885,0.0,-0.08006749264262902
2028,P4,credit,TVAE,append,0.0999099909990999,knn_shapley,0.0006793668938390353,0.0011859617496820442,0.07291666666666667,-0.000506594855843009
2028,P4,credit,TVAE,append,0.2498124531132783,data_oob,0.8115961644374481,0.8832954044628238,0.0,-0.07169924002537575
2028,P4,credit,TVAE,append,0.2498124531132783,knn_shapley,0.0006870796089577073,0.0009447762299326313,0.04460966542750929,-0.000257696620974924
2028,P4,credit,TVAE,append,0.5,data_oob,0.7663371736342303,0.8706430504449787,0.0,-0.10430587681074843
2028,P4,credit,TVAE,append,0.5,knn_shapley,0.0005699524190360755,0.0008710282166075607,0.07465618860510806,-0.00030107579757148524
2028,P4,credit,TVAE,append,0.75,data_oob,0.7710303243192609,0.8796942965554131,0.0,-0.1086639722361522
2028,P4,credit,TVAE,append,0.75,knn_shapley,0.0005931930511260592,0.000792401260570521,0.1054739652870494,-0.00019920820944446175
2028,P4,credit,TVAE,replace,0.0,data_oob,0.7931378239978294,,,
2028,P4,credit,TVAE,replace,0.0,knn_shapley,0.0007567999999999657,,,
2028,P4,credit,TVAE,replace,0.05,data_oob,0.7737049799780077,0.8085920029387361,0.0,-0.03488702296072843
2028,P4,credit,TVAE,replace,0.05,knn_shapley,0.0007126048718517072,0.000724507434816906,0.14,-1.1902562965198813e-05
2028,P4,credit,TVAE,replace,0.1,data_oob,0.7937178331834459,0.8650010495266605,0.0,-0.07128321634321455
2028,P4,credit,TVAE,replace,0.1,knn_shapley,0.000703328283718211,0.00107804544653575,0.05,-0.00037471716281753896
2028,P4,credit,TVAE,replace,0.25,data_oob,0.8027102302729783,0.8457380063025856,0.0,-0.04302777602960728
2028,P4,credit,TVAE,replace,0.25,knn_shapley,0.0007078712431893675,0.0008971862704317369,0.08,-0.0001893150272423694
2028,P4,credit,TVAE,replace,0.5,data_oob,0.7909112219377138,0.8598595624470803,0.0,-0.06894834050936649
2028,P4,credit,TVAE,replace,0.5,knn_shapley,0.0006458702928625021,0.0008373297071374211,0.07,-0.000191459414274919
2028,P4,credit,TVAE,replace,0.75,data_oob,0.7921337517628024,0.8722315647860159,0.0,-0.0800978130232135
2028,P4,credit,TVAE,replace,0.75,knn_shapley,0.000625033102393874,0.0007831222992019885,0.09466666666666666,-0.00015808919680811455
2028,P4,credit,TVAE,replace,1.0,data_oob,,0.8869645787893233,0.0,
2028,P4,credit,TVAE,replace,1.0,knn_shapley,,0.0007483999999999622,0.105,
2029,P1,adult,CTGAN,append,0.0,data_oob,0.8039683699917378,,,
2029,P1,adult,CTGAN,append,0.0,knn_shapley,0.0007635999999999641,,,
2029,P1,adult,CTGAN,append,0.050332383665717,data_oob,0.7944745034585734,0.8290182329559491,0.0,-0.03454372949737572
2029,P1,adult,CTGAN,append,0.050332383665717,knn_shapley,0.0007640252002453305,0.000835521195338062,0.1,-7.14959950927315e-05
2029,P1,adult,CTGAN,append,0.0999099909990999,data_oob,0.8045500145061804,0.8415370341476496,0.0,-0.03698701964146922
2029,P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,0.0007421905246168242,0.0008282852784482279,0.07,-8.609475383140376e-05
2029,P1,adult,CTGAN,append,0.2498124531132783,data_oob,0.8035729834561154,0.811418025310997,0.0,-0.007845041854881663
2029,P1,adult,CTGAN,append,0.2498124531132783,knn_shapley,0.0008039680724725508,0.0006978427893765103,0.12890625,0.00010612528309604052
2029,P1,adult,CTGAN,append,0.5,data_oob,0.8008943988818037,0.8309706371946463,0.0,-0.030076238312842563
2029,P1,adult,CTGAN,append,0.5,knn_shapley,0.0006997501574289284,0.0008293758317813569,0.11023622047244094,-0.00012962567435242857
2029,P1,adult,CTGAN,append,0.75,data_oob,0.8155185072023865,0.8556415215540218,0.0,-0.040123014351635344
2029,P1,adult,CTGAN,append,0.75,knn_shapley,0.000710211674734353,0.0007819294417551633,0.08933333333333333,-7.171776702081026e-05
2029,P1,adult,CTGAN,replace,0.0,data_oob,0.8039683699917378,,,
2029,P1,adult,CTGAN,replace,0.0,knn_shapley,0.0007635999999999641,,,
2029,P1,adult,CTGAN,replace,0.05,data_oob,0.7992741927358135,0.8144676146839006,0.0,-0.015193421948087149
2029,P1,adult,CTGAN,replace,0.05,knn_shapley,0.0007661800504628754,0.0007705790412046962,0.1,-4.3989907418207986e-06
2029,P1,adult,CTGAN,replace,0.1,data_oob,0.8004386800763361,0.7988406454321094,0.0,0.001598034644226698
2029,P1,adult,CTGAN,replace,0.1,knn_shapley,0.0007713417152353356,0.0007779245628816141,0.12,-6.582847646278457e-06
2029,P1,adult,CTGAN,replace,0.25,data_oob,0.8113914781986956,0.8245788548793012,0.0,-0.013187376680605545
2029,P1,adult,CTGAN,replace,0.25,knn_shapley,0.0007503849396830623,0.0007856451809506741,0.132,-3.526024126761186e-05
2029,P1,adult,CTGAN,replace,0.5,data_oob,0.7899058340670838,0.8489086085891926,0.0,-0.05900277452210878
2029,P1,adult,CTGAN,replace,0.5,knn_shapley,0.0007215079149511599,0.0008048920850487731,0.106,-8.338417009761323e-05
2029,P1,adult,CTGAN,replace,0.75,data_oob,0.8186547956573949,0.8408482996924775,0.0,-0.02219350403508269
2029,P1,adult,CTGAN,replace,0.75,knn_shapley,0.0008747764116016566,0.0007318745294660669,0.132,0.0001429018821355897
2029,P1,adult,CTGAN,replace,1.0,data_oob,,0.8336068172933288,0.0,
2029,P1,adult,CTGAN,replace,1.0,knn_shapley,,0.0007943999999999591,0.098,
2029,P2,adult,TVAE,append,0.0,data_oob,0.8039683699917378,,,
2029,P2,adult,TVAE,append,0.0,knn_shapley,0.0007635999999999641,,,
2029,P2,adult,TVAE,append,0.050332383665717,data_oob,0.7936073651697908,0.8085675768112557,0.0,-0.014960211641464882
2029,P2,adult,TVAE,append,0.050332383665717,knn_shapley,0.0007721110341350497,0.0006578903514334134,0.22,0.00011422068270163638
2029,P2,adult,TVAE,append,0.0999099909990999,data_oob,0.8093634655678112,0.7830890442163165,0.0,0.026274421351494714
2029,P2,adult,TVAE,append,0.0999099909990999,knn_shapley,0.0007624606732281889,0.0006818539409459541,0.2,8.060673228223474e-05
2029,P2,adult,TVAE,append,0.2498124531132783,data_oob,0.7970345441660267,0.7972479678395126,0.0,-0.00021342367348586855
2029,P2,adult,TVAE,append,0.2498124531132783,knn_shapley,0.0008338269882130411,0.0006251278155057204,0.19140625,0.00020869917270732068
2029,P2,adult,TVAE,append,0.5,data_oob,0.8010289241329833,0.8015799910342668,0.0,-0.0005510669012834812
2029,P2,adult,TVAE,append,0.5,knn_shapley,0.0007696355531691687,0.0007585419445683773,0.1830708661417323,1.1093608600791396e-05
2029,P2,adult,TVAE,append,0.75,data_oob,0.8089070562938282,0.8056956742620965,0.0,0.0032113820317316577
2029,P2,adult,TVAE,append,0.75,knn_shapley,0.0007991556434630104,0.000740548118845617,0.144,5.860752461739338e-05
2029,P2,adult,TVAE,replace,0.0,data_oob,0.8039683699917378,,,
2029,P2,adult,TVAE,replace,0.0,knn_shapley,0.0007635999999999641,,,
