protocol,detector,calibration_policy,quantifier,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P3,datum_transformer,target_real_anchor,pcc,replace,0.1,prevalence_error,5,0.8643185622475998,0.010123877648300994,0.8517481078494847,0.876889016645715
P3,datum_transformer,target_real_anchor,pcc,replace,0.1,false_positive_share,5,0.9302945103875547,0.06051667442298867,0.8551531344655111,1.0054358863095982
P3,datum_transformer,target_real_anchor,pcc,replace,0.1,prevalence_decision_error,5,0.0,0.0,0.0,0.0
P3,datum_transformer,target_real_anchor,pcc,replace,0.1,decision_regret,5,0.0018369255142265922,0.000569480150206131,0.0011298225140239674,0.002544028514429217
P3,flat_transformer,oracle_target,acc,replace,0.05,prevalence_absolute_error,4,0.035308238305860384,0.01139179154250716,0.01718135585335333,0.05343512075836744
P3,flat_transformer,oracle_target,acc,replace,0.05,prevalence_error,4,-0.0029063521493600296,0.025361410534004786,-0.04326201577472345,0.03744931147600339
P3,flat_transformer,oracle_target,acc,replace,0.05,false_positive_share,4,0.8308133848514648,0.06231845612877004,0.7316508146224703,0.9299759550804594
P3,flat_transformer,oracle_target,acc,replace,0.05,prevalence_decision_error,4,0.11750000000000001,0.10812801055539065,-0.05455579384484034,0.28955579384484037
P3,flat_transformer,oracle_target,acc,replace,0.05,decision_regret,4,0.00047291664705568376,0.0004061732979086837,-0.0001733957085615108,0.0011192290026728782
P3,flat_transformer,oracle_target,acc,replace,0.1,prevalence_absolute_error,4,0.04722189841829735,0.02619723522225666,0.005536251197437891,0.08890754563915682
P3,flat_transformer,oracle_target,acc,replace,0.1,prevalence_error,4,-0.011523863384015433,0.03747245402638484,-0.07115089981710646,0.04810317304907558
P3,flat_transformer,oracle_target,acc,replace,0.1,false_positive_share,4,0.7034785976482343,0.09455651695931795,0.5530180786293954,0.8539391166670731
P3,flat_transformer,oracle_target,acc,replace,0.1,prevalence_decision_error,4,0.5575,0.24116038922951946,0.17376000515786744,0.9412399948421326
P3,flat_transformer,oracle_target,acc,replace,0.1,decision_regret,4,0.0006974926790466799,0.0003341740423129887,0.0001657472059063337,0.0012292381521870261
P3,flat_transformer,oracle_target,cc,replace,0.05,prevalence_absolute_error,5,0.017179999999999952,0.01847366639300388,-0.005758086475019752,0.04011808647501966
P3,flat_transformer,oracle_target,cc,replace,0.05,prevalence_error,5,-0.004844000000000048,0.0259573039817312,-0.037074249844546894,0.027386249844546795
P3,flat_transformer,oracle_target,cc,replace,0.05,false_positive_share,5,0.6646507078811719,0.375450221161707,0.19846768514703927,1.1308337306153045
P3,flat_transformer,oracle_target,cc,replace,0.05,prevalence_decision_error,5,0.0,0.0,0.0,0.0
P3,flat_transformer,oracle_target,cc,replace,0.05,decision_regret,5,0.00027335915932238296,0.00043594066481397563,-0.00026793266953014494,0.0008146509881749109
P3,flat_transformer,oracle_target,cc,replace,0.1,prevalence_absolute_error,5,0.048916,0.029774691098313686,0.011945838005585803,0.0858861619944142
P3,flat_transformer,oracle_target,cc,replace,0.1,prevalence_error,5,-0.048916,0.029774691098313686,-0.0858861619944142,-0.011945838005585803
P3,flat_transformer,oracle_target,cc,replace,0.1,false_positive_share,5,0.5627828781185874,0.32508787834127806,0.15913296332977722,0.9664327929073976
P3,flat_transformer,oracle_target,cc,replace,0.1,prevalence_decision_error,5,1.0,0.0,1.0,1.0
P3,flat_transformer,oracle_target,cc,replace,0.1,decision_regret,5,0.000616594400944152,0.00047009813406153267,3.289047225718035e-05,0.0012002983296311239
P3,flat_transformer,oracle_target,dys,replace,0.05,prevalence_absolute_error,5,0.22524944729817645,0.4051712468031633,-0.27783710296464337,0.7283359975609962
P3,flat_transformer,oracle_target,dys,replace,0.05,prevalence_error,5,0.18637969843265154,0.42836647125251964,-0.34550752695918974,0.7182669238244929
P3,flat_transformer,oracle_target,dys,replace,0.05,false_positive_share,5,0.6646507078811719,0.375450221161707,0.19846768514703927,1.1308337306153045
P3,flat_transformer,oracle_target,dys,replace,0.05,prevalence_decision_error,5,0.32,0.40890096600521747,-0.1877176083194197,0.8277176083194198
P3,flat_transformer,oracle_target,dys,replace,0.05,decision_regret,5,0.00039648694499309494,0.00040362314395718513,-0.00010467738170035699,0.0008976512716865469
P3,flat_transformer,oracle_target,dys,replace,0.1,prevalence_absolute_error,5,0.22348251524736296,0.37833703362971,-0.2462849585978547,0.6932499890925806
P3,flat_transformer,oracle_target,dys,replace,0.1,prevalence_error,5,0.1660950857194474,0.4124225332231987,-0.34599512583179426,0.6781852972706891
P3,flat_transformer,oracle_target,dys,replace,0.1,false_positive_share,5,0.5627828781185874,0.32508787834127806,0.15913296332977722,0.9664327929073976
P3,flat_transformer,oracle_target,dys,replace,0.1,prevalence_decision_error,5,0.484,0.41560798837365964,-0.03204547652946177,1.0000454765294617
P3,flat_transformer,oracle_target,dys,replace,0.1,decision_regret,5,0.000944690509400712,0.0006701797344026695,0.00011255246086715675,0.0017768285579342672
P3,flat_transformer,oracle_target,emq,replace,0.05,prevalence_absolute_error,5,0.11997789377440841,0.1847198047378709,-0.10938203752383495,0.34933782507265176
P3,flat_transformer,oracle_target,emq,replace,0.05,prevalence_error,5,0.07340729671967858,0.2118877782541473,-0.18968612919787856,0.33650072263723574
P3,flat_transformer,oracle_target,emq,replace,0.05,false_positive_share,5,0.6646507078811719,0.375450221161707,0.19846768514703927,1.1308337306153045
P3,flat_transformer,oracle_target,emq,replace,0.05,prevalence_decision_error,5,0.24200000000000005,0.4269309077590893,-0.28810473788491314,0.7721047378849133
P3,flat_transformer,oracle_target,emq,replace,0.05,decision_regret,5,0.00037412393815661096,0.0004146679737180452,-0.00014075435601719043,0.0008890022323304124
P3,flat_transformer,oracle_target,emq,replace,0.1,prevalence_absolute_error,5,0.1258250656924581,0.1555787345089429,-0.06735144783339789,0.31900157921831407
P3,flat_transformer,oracle_target,emq,replace,0.1,prevalence_error,5,0.050175516912480414,0.1999426954896686,-0.1980861297808592,0.29843716360582
P3,flat_transformer,oracle_target,emq,replace,0.1,false_positive_share,5,0.5627828781185874,0.32508787834127806,0.15913296332977722,0.9664327929073976
P3,flat_transformer,oracle_target,emq,replace,0.1,prevalence_decision_error,5,0.576,0.3855256152319843,0.09730672318108835,1.0546932768189117
P3,flat_transformer,oracle_target,emq,replace,0.1,decision_regret,5,0.0009362920691774801,0.0007963726452798343,-5.253517362078695e-05,0.0019251193119757472
P3,flat_transformer,oracle_target,hdy,replace,0.05,prevalence_absolute_error,5,0.21999666137215707,0.40812480963367986,-0.286757221523748,0.7267505442680622
P3,flat_transformer,oracle_target,hdy,replace,0.05,prevalence_error,5,0.1875855828966597,0.42733264149288563,-0.3430179733023724,0.7181891390956918
P3,flat_transformer,oracle_target,hdy,replace,0.05,false_positive_share,5,0.6646507078811719,0.375450221161707,0.19846768514703927,1.1308337306153045
