protocol,detector,calibration_policy,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P2,column_positional_ablation,target_real_anchor,replace,0.0,decision_regret,5,5.302041684259716e-05,6.11581481610535e-05,-2.2917453925794696e-05,0.00012895828761098901
P2,column_positional_ablation,target_real_anchor,replace,0.05,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,replace,0.05,contaminated_utility_delta,5,0.0011373823063842519,0.0011879025066384309,-0.00033759346948469566,0.0026123580822531994
P2,column_positional_ablation,target_real_anchor,replace,0.05,detector_cleanup_delta,5,0.000860484398064628,0.0019691800640325445,-0.0015845755934251653,0.0033055443895544214
P2,column_positional_ablation,target_real_anchor,replace,0.05,decision_regret,5,0.00030815750343362805,0.0003925099077725242,-0.00017920791798579504,0.0007955229248530511
P2,column_positional_ablation,target_real_anchor,replace,0.1,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,replace,0.1,contaminated_utility_delta,5,-0.000314233413489752,0.0016267074069003019,-0.002334057436249258,0.0017055906092697539
P2,column_positional_ablation,target_real_anchor,replace,0.1,detector_cleanup_delta,5,-0.0007493108979854113,0.0020078970378893967,-0.0032424443620326544,0.0017438225660618319
P2,column_positional_ablation,target_real_anchor,replace,0.1,decision_regret,5,0.00034012419842061883,0.00019428961577945046,9.888177728243326e-05,0.0005813666195588044
P2,column_positional_ablation,target_real_anchor,replace,0.25,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,replace,0.25,contaminated_utility_delta,5,-0.000598762372837572,0.0017530012552754261,-0.002775400920319075,0.001577876174643931
P2,column_positional_ablation,target_real_anchor,replace,0.25,detector_cleanup_delta,5,-0.0016395241919399642,0.002263470179123387,-0.004449993624365299,0.0011709452404853708
P2,column_positional_ablation,target_real_anchor,replace,0.25,decision_regret,5,0.0015733393891548529,0.0007513711513002377,0.0006403888812964344,0.0025062898970132715
P2,column_positional_ablation,target_real_anchor,replace,0.5,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,replace,0.5,contaminated_utility_delta,5,-0.003365521308956168,0.0012878671094914583,-0.004964619533282457,-0.001766423084629879
P2,column_positional_ablation,target_real_anchor,replace,0.5,detector_cleanup_delta,5,-0.002243642531474592,0.0015876134959091266,-0.004214925052407373,-0.0002723600105418106
P2,column_positional_ablation,target_real_anchor,replace,0.5,decision_regret,5,0.0006145964434428944,0.0005498832560200321,-6.817379877224273e-05,0.0012973666856580315
P2,column_positional_ablation,target_real_anchor,replace,0.75,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
