protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,adult,CTGAN,replace,0.1,data_oob,synthetic_mean_value,5,0.8020826428907746,0.0416944192896474,0.7503121835328068,0.8538531022487423
P1,adult,CTGAN,replace,0.1,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,replace,0.1,data_oob,source_task_value_gap,5,0.015407801447069524,0.04102841788568442,-0.035535707944844216,0.06635131083898327
P1,adult,CTGAN,replace,0.1,knn_shapley,real_mean_value,5,0.0007706219098177007,1.8072489885562125e-05,0.0007481819497688964,0.0007930618698665049
P1,adult,CTGAN,replace,0.1,knn_shapley,synthetic_mean_value,5,0.0007852028116403364,9.78352780976062e-05,0.0006637242690722855,0.0009066813542083872
P1,adult,CTGAN,replace,0.1,knn_shapley,synthetic_negative_value_rate,5,0.12000000000000002,0.03605551275463989,0.07523116787578704,0.164768832124213
P1,adult,CTGAN,replace,0.1,knn_shapley,source_task_value_gap,5,-1.458090182263551e-05,0.0001101259665434188,-0.00015132034974699084,0.0001221585461017198
P1,adult,CTGAN,replace,0.25,data_oob,real_mean_value,5,0.8168080597692036,0.00966985188741392,0.804801352812639,0.8288147667257681
P1,adult,CTGAN,replace,0.25,data_oob,synthetic_mean_value,5,0.830465097012274,0.008524166966155306,0.8198809457757211,0.8410492482488269
P1,adult,CTGAN,replace,0.25,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,replace,0.25,data_oob,source_task_value_gap,5,-0.01365703724307037,0.008826666921194642,-0.02461679178325382,-0.002697282702886921
P1,adult,CTGAN,replace,0.25,knn_shapley,real_mean_value,5,0.0007751674961561782,2.3711789256376428e-05,0.0007457254211035407,0.0008046095712088157
P1,adult,CTGAN,replace,0.25,knn_shapley,synthetic_mean_value,5,0.0008120975115313225,3.616701664168484e-05,0.000767190229044906,0.000857004794017739
P1,adult,CTGAN,replace,0.25,knn_shapley,synthetic_negative_value_rate,5,0.11600000000000002,0.016970562748477143,0.09492826320595803,0.137071736794042
P1,adult,CTGAN,replace,0.25,knn_shapley,source_task_value_gap,5,-3.6930015375144206e-05,5.1642875494126534e-05,-0.00010105311463992055,2.7193083889632134e-05
P1,adult,CTGAN,replace,0.5,data_oob,real_mean_value,5,0.8089953058248218,0.011074436151145953,0.7952445771555376,0.822746034494106
P1,adult,CTGAN,replace,0.5,data_oob,synthetic_mean_value,5,0.8336808638871787,0.00921460622802735,0.8222394190762129,0.8451223086981444
P1,adult,CTGAN,replace,0.5,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,replace,0.5,data_oob,source_task_value_gap,5,-0.024685558062356883,0.019485878107396472,-0.04888047138169798,-0.0004906447430157862
P1,adult,CTGAN,replace,0.5,knn_shapley,real_mean_value,5,0.0007613213089534014,4.1728637561899424e-05,0.0007095083619986976,0.0008131342559081052
P1,adult,CTGAN,replace,0.5,knn_shapley,synthetic_mean_value,5,0.0007964386910465266,2.3970033819931457e-05,0.0007666759630165911,0.0008262014190764622
P1,adult,CTGAN,replace,0.5,knn_shapley,synthetic_negative_value_rate,5,0.10600000000000001,0.02186321110907545,0.07885323788073244,0.1331467621192676
P1,adult,CTGAN,replace,0.5,knn_shapley,source_task_value_gap,5,-3.5117382093125155e-05,5.234840425650106e-05,-0.00010011651102183921,2.9881746835588897e-05
P1,adult,CTGAN,replace,0.75,data_oob,real_mean_value,5,0.797853397024849,0.0206300579157684,0.7722377968299808,0.8234689972197172
P1,adult,CTGAN,replace,0.75,data_oob,synthetic_mean_value,5,0.8336921808431441,0.01179597247670298,0.8190455464950195,0.8483388151912687
P1,adult,CTGAN,replace,0.75,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,replace,0.75,data_oob,source_task_value_gap,5,-0.035838783818295306,0.0102477827789586,-0.04856308675634072,-0.02311448088024989
P1,adult,CTGAN,replace,0.75,knn_shapley,real_mean_value,5,0.0007791688525210169,6.767290559821596e-05,0.0006951418419858702,0.0008631958630561636
