protocol,detector,calibration_policy,metric,n_seeds,mean,std,ci95_low,ci95_high
P2,flat_transformer,target_real_anchor,detection_tpr,5,0.5003783102143757,0.004353536278929139,0.49497268095195546,0.505783939476796
P2,flat_transformer,target_real_anchor,detection_ece,5,0.17095037430123558,0.017926886333477356,0.14869120494106566,0.1932095436614055
P3,char3gram,oracle_target,detection_auroc,5,0.6211835758467591,0.01868223274096745,0.5979865200462362,0.644380631647282
P3,char3gram,oracle_target,detection_auprc,5,0.589966469881382,0.01858201158094923,0.566893855087112,0.613039084675652
P3,char3gram,oracle_target,detection_fpr,5,0.05133470225872686,0.008205527393812017,0.04114619430755572,0.061523210209898004
P3,char3gram,oracle_target,detection_tpr,5,0.0823408624229979,0.011987504861365092,0.06745640920834826,0.09722531563764754
P3,char3gram,oracle_target,detection_ece,5,0.02523082337806134,0.007301236924461684,0.01616514034660129,0.034296506409521386
P3,char3gram,source_only,detection_auroc,5,0.6211835758467591,0.01868223274096745,0.5979865200462362,0.644380631647282
P3,char3gram,source_only,detection_auprc,5,0.589966469881382,0.01858201158094923,0.566893855087112,0.613039084675652
P3,char3gram,source_only,detection_fpr,5,0.999794661190965,0.0002811717440991274,0.999445540359005,1.000143782022925
P3,char3gram,source_only,detection_tpr,5,1.0,0.0,1.0,1.0
P3,char3gram,source_only,detection_ece,5,0.46687582839005504,0.0030678223400963686,0.46306662383747216,0.4706850329426379
P3,char3gram,target_real_anchor,detection_auroc,5,0.6211835758467591,0.01868223274096745,0.5979865200462362,0.644380631647282
P3,char3gram,target_real_anchor,detection_auprc,5,0.589966469881382,0.01858201158094923,0.566893855087112,0.613039084675652
P3,char3gram,target_real_anchor,detection_fpr,5,0.0550308008213552,0.01581158830111557,0.03539812087344017,0.07466348076927022
P3,char3gram,target_real_anchor,detection_tpr,5,0.08675564681724841,0.013712228325660256,0.06972966657012619,0.10378162706437064
P3,char3gram,target_real_anchor,detection_ece,5,0.46687582839005504,0.0030678223400963686,0.46306662383747216,0.4706850329426379
P3,column_positional_ablation,oracle_target,detection_auroc,5,0.606693723673836,0.12543388702491653,0.45094698200023886,0.7624404653474331
P3,column_positional_ablation,oracle_target,detection_auprc,5,0.5793040369821663,0.0951302868073041,0.46118418471473827,0.6974238892495943
P3,column_positional_ablation,oracle_target,detection_fpr,5,0.029466119096509202,0.027413884570703158,-0.004572714425846558,0.06350495261886496
P3,column_positional_ablation,oracle_target,detection_tpr,5,0.06930184804928127,0.07592678396092122,-0.02497370609438959,0.16357740219295214
P3,column_positional_ablation,oracle_target,detection_ece,5,0.06251469234502557,0.0969818092311987,-0.057904128658019305,0.18293351334807045
P3,column_positional_ablation,source_only,detection_auroc,5,0.6331979516715928,0.10432836577734017,0.5036571758944358,0.7627387274487497
P3,column_positional_ablation,source_only,detection_auprc,5,0.5990153016678107,0.079486157776239,0.5003202012015106,0.6977104021341108
P3,column_positional_ablation,source_only,detection_fpr,5,0.997741273100616,0.0037827789377701576,0.9930443326804234,1.0024382135208088
P3,column_positional_ablation,source_only,detection_tpr,5,1.0,0.0,1.0,1.0
P3,column_positional_ablation,source_only,detection_ece,5,0.44517428730951936,0.04188327097395873,0.3931693376141421,0.49717923700489663
P3,column_positional_ablation,target_real_anchor,detection_auroc,5,0.6331979516715928,0.10432836577734017,0.5036571758944358,0.7627387274487497
P3,column_positional_ablation,target_real_anchor,detection_auprc,5,0.5990153016678107,0.079486157776239,0.5003202012015106,0.6977104021341108
P3,column_positional_ablation,target_real_anchor,detection_fpr,5,0.04394250513347018,0.012167515688653905,0.028834538955289146,0.05905047131165121
P3,column_positional_ablation,target_real_anchor,detection_tpr,5,0.09312114989733057,0.05899538896912621,0.019868699354339076,0.16637360044032207
P3,column_positional_ablation,target_real_anchor,detection_ece,5,0.44517428730951936,0.04188327097395873,0.3931693376141421,0.49717923700489663
P3,datum_ta,oracle_target,detection_auroc,5,0.6006441082097576,0.10722551869418949,0.4675060419584578,0.7337821744610573
P3,datum_ta,oracle_target,detection_auprc,5,0.5813657815493338,0.07962139793253463,0.48250275824984995,0.6802288048488176
P3,datum_ta,oracle_target,detection_fpr,5,0.03388090349075974,0.031090357145229394,-0.0047228736677687524,0.07248468064928823
P3,datum_ta,oracle_target,detection_tpr,5,0.07566735112936343,0.07046854273729852,-0.011830901393423479,0.16316560365215033
P3,datum_ta,oracle_target,detection_ece,5,0.03294326526331407,0.05289559301110564,-0.03273528824221444,0.09862181876884257
P3,datum_ta,source_only,detection_auroc,5,0.6372632489912256,0.0758834278913852,0.5430415285182012,0.7314849694642499
P3,datum_ta,source_only,detection_auprc,5,0.6068399144948741,0.05336320976050348,0.5405807381066612,0.673099090883087
