protocol,detector,calibration_policy,quantifier,contamination_mode,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,target_real_anchor,acc,append,prevalence_error,5,0.006722974760928618,0.015387865056287421,-0.012383583288681211,0.025829532810538448
P1,c2st_lr,target_real_anchor,acc,append,decision_regret,5,0.00057851355077899,0.00021848486867587558,0.000307228755191878,0.0008497983463661021
P1,c2st_lr,target_real_anchor,acc,replace,prevalence_absolute_error,5,0.04123806241360577,0.002638944515899014,0.0379613800149567,0.044514744812254835
P1,c2st_lr,target_real_anchor,acc,replace,prevalence_error,5,0.0035378818156397056,0.013303539104277676,-0.012980643738837838,0.020056407370117248
P1,c2st_lr,target_real_anchor,acc,replace,decision_regret,5,0.0007272573354170449,0.0003490080029597768,0.0002939066630568973,0.0011606080077771926
P1,c2st_lr,target_real_anchor,cc,append,prevalence_absolute_error,5,0.2047964193287008,0.004602010540072693,0.19908226852173827,0.21051057013566332
P1,c2st_lr,target_real_anchor,cc,append,prevalence_error,5,-0.18581938355788724,0.010767480146094932,-0.19918897600666713,-0.17244979110910735
P1,c2st_lr,target_real_anchor,cc,append,decision_regret,5,0.0004969018366989626,0.00017102203507471495,0.00028454993284714766,0.0007092537405507776
P1,c2st_lr,target_real_anchor,cc,replace,prevalence_absolute_error,5,0.29066028571428565,0.005530514368815383,0.283793245130979,0.2975273262975923
P1,c2st_lr,target_real_anchor,cc,replace,prevalence_error,5,-0.2741785714285714,0.011025660561450568,-0.28786873720413964,-0.26048840565300313
P1,c2st_lr,target_real_anchor,cc,replace,decision_regret,5,0.0006540546984390608,0.0002682692196004758,0.0003209544666349304,0.0009871549302431911
P1,c2st_lr,target_real_anchor,dys,append,prevalence_absolute_error,5,0.02724581001435778,0.0013221033215298492,0.02560420191810855,0.02888741811060701
P1,c2st_lr,target_real_anchor,dys,append,prevalence_error,5,0.00135017964609939,0.00834748008312428,-0.00901458584883899,0.011714945141037773
