algorithm_id,bag_id,true_proportion,raw,clipped,out_of_range
Q-MS,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2523582626285329,0.2523582626285329,False
Q-MS,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2506002602245443,0.2506002602245443,False
Q-MS,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2477901762909652,0.2477901762909652,False
Q-MS,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.4959571235840423,0.4959571235840423,False
Q-MS,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.50112744485941,0.50112744485941,False
Q-MS,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.5000999339802664,0.5000999339802664,False
Q-MS,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.7502391343552751,0.7502391343552751,False
Q-MS,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7508447491150194,0.7508447491150194,False
Q-MS,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7485695142378559,0.7485695142378559,False
Q-MS,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,1.003777400835073,1.0,True
Q-MS,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,1.0048879726331528,1.0,True
Q-MS,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,1.0004740444757243,1.0,True
