algorithm_id,model,condition,proportion,n_train,auroc,auprc,f1,balanced_accuracy,log_loss,train_seconds,delta_auroc_vs_real_only
V-CURVE-LR,lr,synthetic_replace,1.0,3500,0.8264681816105035,0.6089154609263313,0.1108910891089108,0.5282885509732497,0.4550063293472416,0.2263661999968462,-0.0823485921489302
V-CURVE-XGB,xgb,real_only,0.0,3500,0.9131434046223648,0.801106718583188,0.6674556213017752,0.7686277034520284,0.3042957186698913,0.2643940999987535,0.0
V-CURVE-XGB,xgb,real_only,0.05,3500,0.9168227715082012,0.8075891049926323,0.6785290628706999,0.7748206698039932,0.3007009029388428,0.2878748000002815,0.0
V-CURVE-XGB,xgb,real_only,0.1,3500,0.9145480020657066,0.8053103871822933,0.6593673965936739,0.7609290695597636,0.2989726662635803,0.3169706000044243,0.0
V-CURVE-XGB,xgb,real_only,0.25,3500,0.9156223910415896,0.8046794488635418,0.680952380952381,0.775802988075113,0.3010631799697876,0.3305003999994369,0.0
V-CURVE-XGB,xgb,real_only,0.5,3500,0.910375745391965,0.7947740903131932,0.6643437862950058,0.7689267601772742,0.307877629995346,0.314502100001846,0.0
V-CURVE-XGB,xgb,real_only,0.75,3500,0.912030941294888,0.8011132227140852,0.6833333333333333,0.777187509951251,0.30581796169281,0.3135070000062114,0.0
V-CURVE-XGB,xgb,real_only,1.0,3500,0.9113068363536678,0.7980500282970384,0.6682577565632458,0.7681507356656989,0.30543053150177,0.2866280000016559,0.0
V-CURVE-XGB,xgb,real_append_bootstrap_control,0.0,3500,0.91442131831404,0.8015663766485744,0.6899766899766899,0.7837542972097731,0.3018134236335754,0.3015347999971709,0.0012779136916754
V-CURVE-XGB,xgb,real_append_bootstrap_control,0.05,3500,0.9141554901138216,0.8043504350797306,0.6755447941888619,0.7706954868740403,0.3024130165576935,0.2884657000031438,-0.0026672813943796
V-CURVE-XGB,xgb,real_append_bootstrap_control,0.1,3500,0.9165230225220174,0.8064840140954138,0.6626794258373205,0.7646520488846984,0.299025297164917,0.3153460000030463,0.0019750204563108
V-CURVE-XGB,xgb,real_append_bootstrap_control,0.25,3500,0.914541771717264,0.8022113864125329,0.6674641148325359,0.7674210926369742,0.3031579554080963,0.2891716999947675,-0.0010806193243253
V-CURVE-XGB,xgb,real_append_bootstrap_control,0.5,3500,0.9165361754798406,0.8085509206329397,0.6933962264150944,0.7842596476945634,0.2989133894443512,0.2934176999988267,0.0061604300878755
V-CURVE-XGB,xgb,real_append_bootstrap_control,0.75,3500,0.9169986057864709,0.8020057524952937,0.6878680800942285,0.781163164518581,0.297940045595169,0.2952347000027657,0.0049676644915827
V-CURVE-XGB,xgb,real_append_bootstrap_control,1.0,3500,0.91124868643487,0.8013361134720738,0.6625615763546798,0.761434420044554,0.3058264255523681,0.3029702999992878,-5.814991879782294e-05
V-CURVE-XGB,xgb,synthetic_append,0.0,3500,0.9149335914082112,0.8067358657850608,0.6898954703832753,0.784156500814791,0.3037295639514923,0.3047910999957821,0.0017901867858464
V-CURVE-XGB,xgb,synthetic_append,0.05,3500,0.915917294201207,0.805787582756858,0.6642156862745098,0.7628937061020034,0.3028506636619568,0.2959386000002268,-0.0009054773069941
V-CURVE-XGB,xgb,synthetic_append,0.1,3500,0.9147404506064898,0.8028402555198141,0.6729411764705883,0.7725285938380468,0.3047167360782623,0.3034963999962201,0.0001924485407831
V-CURVE-XGB,xgb,synthetic_append,0.25,3500,0.9078192257476764,0.776408584680226,0.6485849056603774,0.7579537320479433,0.3201622068881988,0.3083695000022999,-0.007803165293913
V-CURVE-XGB,xgb,synthetic_append,0.5,3500,0.902274215633744,0.7569276232088201,0.6024096385542169,0.7292345947712147,0.3281647861003876,0.3080945999972755,-0.0081015297582208
V-CURVE-XGB,xgb,synthetic_append,0.75,3500,0.8972982440109044,0.7474606910853677,0.6242197253433208,0.7387303380587065,0.3367807865142822,0.3011794999983976,-0.0147326972839836
V-CURVE-XGB,xgb,synthetic_append,1.0,3500,0.8929432304495127,0.7339238813322251,0.5721854304635762,0.706718807760522,0.3454794883728027,0.3267665000021225,-0.018363605904155
V-CURVE-XGB,xgb,synthetic_replace,0.0,3500,0.9134604601320002,0.8031962447272243,0.6714285714285714,0.7702649005705615,0.3031859993934631,0.3062499000006937,0.0003170555096355
V-CURVE-XGB,xgb,synthetic_replace,0.05,3500,0.9130997921832664,0.7972134204700899,0.671280276816609,0.773884733015724,0.3079370558261871,0.3308250000045518,-0.0037229793249349
V-CURVE-XGB,xgb,synthetic_replace,0.1,3500,0.9099451590884862,0.7832920643466552,0.6689655172413793,0.7729024147446042,0.3135106265544891,0.31179919999704,-0.0046028429772204
V-CURVE-XGB,xgb,synthetic_replace,0.25,3500,0.9103923596544786,0.7807873245867304,0.6526576019777504,0.7554941289349842,0.3181010484695434,0.3424500999972224,-0.0052300313871108
V-CURVE-XGB,xgb,synthetic_replace,0.5,3500,0.897404159934429,0.7489274209362825,0.5533707865168539,0.6944927873332862,0.3416623771190643,0.3205674999990151,-0.0129715854575359
V-CURVE-XGB,xgb,synthetic_replace,0.75,3500,0.8847233240708821,0.7014886982884662,0.5222222222222223,0.6794125750583923,0.3596426844596863,0.3172694999957457,-0.0273076172240059
V-CURVE-XGB,xgb,synthetic_replace,1.0,3500,0.8171011988574927,0.6073191566484648,0.0332640332640332,0.5084566596194503,0.505818784236908,0.2944246999977622,-0.0942056374961751
